time,date,hour,precip [mm/day],02GA041 [m3/s],02GA-19 [m3/s],02GA-17 [m3/s],16018409002 [m3/s],02GA-13 [m3/s],02GA022 [m3/s],16018406702&02GA014 [m3/s],02GA027 [m3/s],02GA001 [m3/s],02GA016 [m3/s],02GA016 (observed) [m3/s],02GA016 (res. inflow) [m3/s]
195,2013-07-15,00:00.0,0,0,0,0,0,0,0,0,0,0,0.200064,32.6,0
196,2013-07-16,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0465079,32.3,0
197,2013-07-17,00:00.0,0,0,0,0,0,0,0,0,0,0,0,31,0
198,2013-07-18,00:00.0,0,0,0,0,0,0,0,0,0,0,0,20.1,0
199,2013-07-19,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.65,0
200,2013-07-20,00:00.0,11.2532,0,0,0,0,0,0,0,0,0,0,4.79,0
201,2013-07-21,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.17,0
202,2013-07-22,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.22,0
203,2013-07-23,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.26,0
204,2013-07-24,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.22,0
205,2013-07-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.22,0
206,2013-07-26,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.22,0
207,2013-07-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0,6.47,0
208,2013-07-28,00:00.0,35.97,0.278639,0.707562,0.835576,1.24681,1.5278,2.37776,2.42633,2.71985,2.76623,0,7.06,2.83633
209,2013-07-29,00:00.0,0,0.527588,1.33973,1.58212,2.36077,2.89282,4.50217,4.59413,5.1499,5.23771,0.753041,7.19,5.37045
210,2013-07-30,00:00.0,1.80855,0.471374,1.19698,1.41355,2.10923,2.58459,4.02246,4.10462,4.60118,4.67963,2.21971,7.21,4.79823
211,2013-07-31,00:00.0,0,0.421149,1.06945,1.26293,1.88449,2.3092,3.59387,3.66728,4.11092,4.18101,3.27662,7.21,4.28698
212,2013-08-01,00:00.0,48.7303,1.61044,4.26256,4.89323,7.33816,9.02205,14.1501,14.446,16.2426,16.5372,7.58024,7.24,16.9494
213,2013-08-02,00:00.0,0,2.60273,6.92199,7.92058,11.8851,14.618,22.9469,23.4279,26.3508,26.8319,17.268,53.3,27.4984
214,2013-08-03,00:00.0,4.21994,2.25511,5.99099,6.86049,10.2931,12.6588,19.8672,20.2834,22.8122,23.2281,23.3073,82.9,23.8041
215,2013-08-04,00:00.0,0,2.01483,5.35265,6.1295,9.1964,11.31,17.7503,18.1222,20.3816,20.7531,22.7125,54.3,21.2678
216,2013-08-05,00:00.0,0,1.80015,4.78232,5.4764,8.21652,10.1049,15.859,16.1913,18.2099,18.5419,20.7481,25.9,19.0017
217,2013-08-06,00:00.0,0.401899,1.60834,4.27277,4.89289,7.34105,9.02825,14.1692,14.4661,16.2696,16.5662,18.6841,17.8,16.9771
218,2013-08-07,00:00.0,3.61709,1.38464,3.6735,4.21066,6.31647,7.76732,12.187,12.4422,13.9921,14.2466,16.5438,17.9,14.5992
219,2013-08-08,00:00.0,4.82279,0.988704,2.59847,2.99822,4.4928,5.52044,8.6456,8.8257,9.91858,10.0965,13.554,17.9,10.343
220,2013-08-09,00:00.0,0,0.473229,1.19293,1.41771,2.11433,2.58896,4.0213,4.10317,4.59772,4.67492,9.39015,18,4.78187
221,2013-08-10,00:00.0,0,0.110253,0.251796,0.32137,0.474028,0.575739,0.876792,0.893638,0.994175,1.00807,5.37043,9.9,1.03032
222,2013-08-11,00:00.0,0,0,0,0,0,0,1.32E-05,1.32E-05,1.32E-05,1.32E-05,2.80488,6.17,0.00569682
223,2013-08-12,00:00.0,0,0,0,0,0,0,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.54632,6.57,0.00508982
224,2013-08-13,00:00.0,0.401899,0,0,0,0,0,1.05E-05,1.05E-05,1.05E-05,1.05E-05,0.955628,6.71,0.0045475
225,2013-08-14,00:00.0,0,0,0,0,0,0,9.38E-06,9.38E-06,9.38E-06,9.38E-06,0.673294,6.69,0.00406296
226,2013-08-15,00:00.0,0,0,0,0,0,0,8.38E-06,8.38E-06,8.38E-06,8.38E-06,0.505271,6.71,0.00363005
227,2013-08-16,00:00.0,0,0,0,0,0,0,7.49E-06,7.49E-06,7.49E-06,7.49E-06,0.379317,6.7,0.00324327
228,2013-08-17,00:00.0,0,0,0,0,0,0,6.69E-06,6.69E-06,6.69E-06,6.69E-06,0.284884,6.12,0.00289769
229,2013-08-18,00:00.0,0,0,0,0,0,0,4.10E-06,4.10E-06,4.10E-06,4.10E-06,0.206956,5.29,0.00163935
230,2013-08-19,00:00.0,0,0,0,0,0,0,9.45E-07,9.45E-07,9.45E-07,9.45E-07,0.126627,5.26,0.000272037
231,2013-08-20,00:00.0,0,0,0,0,0,0,0,0,0,0,0.04796,5.13,0
232,2013-08-21,00:00.0,0,0,0,0,0,0,0,0,0,0,0.00607987,5.14,0
233,2013-08-22,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.3,0
234,2013-08-23,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.31,0
235,2013-08-24,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.35,0
236,2013-08-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.41,0
237,2013-08-26,00:00.0,3.61709,0,0,0,0,0,0,0,0,0,0,5.46,0
238,2013-08-27,00:00.0,6.22944,0,0,0,0,0,0,0,0,0,0,5.5,0
239,2013-08-28,00:00.0,4.01899,0,0,0,0,0,0,0,0,0,0,5.49,0
240,2013-08-29,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.52,0
241,2013-08-30,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.91,0
242,2013-08-31,00:00.0,7.83704,0,0,0,0,0,0,0,0,0,0,6.11,0
243,2013-09-01,00:00.0,0.401899,0,0,0,0,0,0,0,0,0,0,6.11,0
244,2013-09-02,00:00.0,14.6693,0,0,0,0,0,0,0,0,0,0,6.11,0
245,2013-09-03,00:00.0,1.00475,0,0,0,0,0,0,0,0,0,0,6.11,0
246,2013-09-04,00:00.0,0,0,0,0,0,0,0,0,0,0,0,6.09,0
247,2013-09-05,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.75,0
248,2013-09-06,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.12,0
249,2013-09-07,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.79,0
250,2013-09-08,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.82,0
251,2013-09-09,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.82,0
252,2013-09-10,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0,4.83,0
253,2013-09-11,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.85,0
254,2013-09-12,00:00.0,12.2579,0,0,0,0,0,0,0,0,0,0,5.54,0
255,2013-09-13,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.87,0
256,2013-09-14,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.89,0
257,2013-09-15,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.93,0
258,2013-09-16,00:00.0,1.00475,0,0,0,0,0,0,0,0,0,0,4.96,0
259,2013-09-17,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.47,0
260,2013-09-18,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.68,0
261,2013-09-19,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.71,0
262,2013-09-20,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.72,0
263,2013-09-21,00:00.0,52.8498,1.0223,2.70754,3.10517,4.65621,5.72535,8.983,9.17077,10.3107,10.4981,0.563178,3.74,10.7601
264,2013-09-22,00:00.0,20.4969,2.34427,6.20879,7.12512,10.6862,13.1389,20.6085,21.0396,23.6571,24.0865,7.93012,3.8,24.6817
265,2013-09-23,00:00.0,0,2.50309,6.62944,7.61156,11.4175,14.0372,22.0123,22.473,25.2708,25.7289,19.0377,9.76,26.3598
266,2013-09-24,00:00.0,0,2.23638,5.92307,6.80054,10.2009,12.5416,19.6669,20.0785,22.5782,22.9875,23.4224,13.7,23.5512
267,2013-09-25,00:00.0,0,1.9981,5.29197,6.07594,9.11401,11.2053,17.5714,17.9391,20.1725,20.5381,22.5542,13.5,21.0418
268,2013-09-26,00:00.0,0,1.7852,4.72811,5.42855,8.14291,10.0113,15.6992,16.0277,18.0231,18.3498,20.5507,13.5,18.7998
269,2013-09-27,00:00.0,0,1.5579,4.12227,4.73611,7.1035,8.73274,13.6916,13.9779,15.7172,16.0017,18.3233,13.4,16.3935
270,2013-09-28,00:00.0,0,1.35458,3.58031,4.1167,6.17371,7.58898,11.8957,12.1443,13.6544,13.9011,16.1178,13.3,14.2409
271,2013-09-29,00:00.0,0,1.1852,3.12989,3.60104,5.39986,6.63725,10.402,10.6194,11.9391,12.1545,14.1474,13.2,12.4511
272,2013-09-30,00:00.0,0.602849,0.984745,2.59229,2.9893,4.48095,5.50629,8.62399,8.80389,9.89584,10.0736,12.2129,11.3,10.3181
273,2013-10-01,00:00.0,1.80855,0.670578,1.74025,2.02742,3.03427,3.72409,5.81583,5.93623,6.66599,6.78306,9.76634,10.8,6.94377
274,2013-10-02,00:00.0,0,0.342134,0.847575,1.0212,1.52054,1.85895,2.87572,2.93376,3.28381,3.33718,6.82371,7.85,3.4098
275,2013-10-03,00:00.0,0,0.117063,0.258789,0.332738,0.488485,0.5927,0.902423,0.919927,1.02484,1.0398,4.17713,5.91,1.06216
276,2013-10-04,00:00.0,7.03324,0.00691232,0,0.00857939,0.00857939,0.00857939,0.00858469,0.00858469,0.00858469,0.00858469,2.32688,10.3,0.0108464
277,2013-10-05,00:00.0,1.40665,0,0,0,0,0,0,0,0,0,1.26579,10.4,0
278,2013-10-06,00:00.0,3.01425,0,0,0,0,0,0,0,0,0,0.768177,10.3,0
279,2013-10-07,00:00.0,43.6061,1.30178,3.48373,3.96585,5.95368,7.32719,11.5205,11.7626,13.2338,13.4781,3.72138,10.3,13.8088
280,2013-10-08,00:00.0,4.62184,2.37834,6.3582,7.24315,10.8723,13.3794,21.0323,21.4741,24.1581,24.6035,12.9723,10.5,25.2058
281,2013-10-09,00:00.0,0,1.97013,5.25471,5.99541,8.99677,11.0694,17.3936,17.7585,19.9746,20.3417,19.7265,10.5,20.8371
282,2013-10-10,00:00.0,0,1.5948,4.23961,4.84799,7.27196,8.94484,14.0468,14.3409,16.1266,16.4215,18.9604,10.7,16.8185
283,2013-10-11,00:00.0,0,1.23064,3.25335,3.73422,5.59742,6.88202,10.7964,11.0217,12.3889,12.6137,15.8758,10.7,12.9147
284,2013-10-12,00:00.0,0,0.905284,2.37218,2.73912,4.10132,5.039,7.89226,8.05614,9.04945,9.21162,12.4948,10.7,9.42691
285,2013-10-13,00:00.0,5.02374,0.614595,1.5849,1.85005,2.76462,3.39235,5.29759,5.40658,6.06585,6.17201,9.35597,10.7,6.31073
286,2013-10-14,00:00.0,0.803799,0.354878,0.881505,1.05571,1.57034,1.92115,2.97939,3.03933,3.40014,3.45628,6.55688,10.7,3.52658
287,2013-10-15,00:00.0,0,0.140229,0.306587,0.400907,0.586732,0.710888,1.07744,1.09737,1.21386,1.23021,4.17231,10.5,1.24949
288,2013-10-16,00:00.0,8.84179,0.114175,0.253657,0.327681,0.480324,0.582787,0.88634,0.902901,0.999757,1.01383,2.5998,10.5,1.02918
289,2013-10-17,00:00.0,0.803799,0.0901099,0.221869,0.267218,0.396998,0.485371,0.751654,0.76669,0.857047,0.87102,1.81498,10.6,0.886114
290,2013-10-18,00:00.0,14.2674,0.318901,0.840487,0.967343,1.44974,1.78188,2.79293,2.85116,3.20441,3.26222,1.87439,10.5,3.33742
291,2013-10-19,00:00.0,0,0.578015,1.5204,1.75226,2.62546,3.22645,5.05525,5.16052,5.79905,5.90337,3.13412,8.05,6.03863
292,2013-10-20,00:00.0,10.0475,0.706783,1.85623,2.14146,3.20795,3.9418,6.17445,6.30291,7.08193,7.20906,4.95426,5.98,7.3729
293,2013-10-21,00:00.0,3.41614,0.85532,2.23847,2.5876,3.87416,4.75929,7.4515,7.60616,8.5435,8.69623,6.73982,10.7,8.89273
294,2013-10-22,00:00.0,7.23419,0.952687,2.49024,2.88088,4.31254,5.29734,8.29225,8.46423,9.50637,9.67603,8.33216,10.8,9.89394
295,2013-10-23,00:00.0,0.602849,1.032,2.70403,3.12385,4.67797,5.74716,8.99935,9.1863,10.3196,10.5043,9.57576,12,10.7413
296,2013-10-24,00:00.0,0.803799,0.922038,2.41592,2.791,4.17953,5.1348,8.04046,8.20749,9.22003,9.38505,9.94762,12.6,9.59684
297,2013-10-25,00:00.0,1.2057,0.823794,2.1585,2.49362,3.7342,4.58769,7.18375,7.33298,8.23763,8.38507,9.40734,12.6,8.5743
298,2013-10-26,00:00.0,4.82279,0.8695,2.2817,2.63434,3.94615,4.84844,7.59266,7.75058,8.70831,8.86435,9.03875,12.6,9.06417
299,2013-10-27,00:00.0,8.43989,1.1928,3.14312,3.62787,5.44132,6.68562,10.465,10.6838,12.0124,12.2277,10.1649,12.7,12.5052
300,2013-10-28,00:00.0,0.602849,1.35501,3.58093,4.12616,6.19144,7.60881,11.9149,12.1645,13.6808,13.9268,12.2742,12.8,14.2456
301,2013-10-29,00:00.0,0,1.21746,3.22074,3.70354,5.55584,6.82942,10.7033,10.9273,12.2879,12.5098,13.1108,12.7,12.7971
302,2013-10-30,00:00.0,0.401899,1.08774,2.87757,3.30893,4.96386,6.10174,9.56284,9.76295,10.9787,11.1769,12.4431,14.4,11.4336
303,2013-10-31,00:00.0,13.6646,1.49618,3.98001,4.56019,6.84585,8.41874,13.2067,13.484,15.1695,15.4455,13.2606,21.7,15.8076
304,2013-11-01,00:00.0,0,1.83529,4.89397,5.59877,8.40776,10.3414,16.2293,16.5705,18.6454,18.9858,16.3114,21.7,19.435
305,2013-11-02,00:00.0,0,1.58001,4.20815,4.81857,7.23525,8.89827,13.9608,14.2541,16.0378,16.33,17.5266,23.7,16.7148
306,2013-11-03,00:00.0,1.40665,1.36241,3.61963,4.15189,6.23242,7.66337,12.0175,12.2696,13.8026,14.0531,16.0644,30.4,14.3815
307,2013-11-04,00:00.0,0,1.20191,3.18717,3.66053,5.49356,6.75385,10.5875,10.8094,12.1582,12.3783,14.2492,30.5,12.6656
308,2013-11-05,00:00.0,0,1.07384,2.84757,3.2705,4.90822,6.03422,9.45936,9.65765,10.8627,11.0594,12.6928,30.5,11.3161
309,2013-11-06,00:00.0,0,0.925506,2.45082,2.81773,4.22813,5.19748,8.14521,8.31584,9.35265,9.52157,11.2228,27.2,9.74161
310,2013-11-07,00:00.0,13.8655,1.27392,3.38685,3.88365,5.8305,7.16945,11.2436,11.4796,12.9148,13.1493,11.4388,15.4,13.458
311,2013-11-08,00:00.0,2.8133,1.67025,4.45005,5.09509,7.65109,9.40982,14.7633,15.0736,16.9606,17.2696,14.2433,43.2,17.6781
312,2013-11-09,00:00.0,1.00475,1.54764,4.11859,4.71849,7.08417,8.71195,13.6666,13.9537,15.6986,15.9843,16.1608,50.1,16.3607
313,2013-11-10,00:00.0,1.6076,1.38798,3.68786,4.22846,6.34672,7.8043,12.2407,12.4975,14.0581,14.3136,15.6732,49.5,14.6488
314,2013-11-11,00:00.0,2.61235,1.2902,3.42306,3.92788,5.89411,7.24709,11.3649,11.6031,13.0501,13.2869,14.5395,48.5,13.5963
315,2013-11-12,00:00.0,3.01425,1.29318,3.432,3.93661,5.90711,7.2634,11.3921,11.6308,13.0812,13.3188,13.8637,50,13.6293
316,2013-11-13,00:00.0,0,1.24673,3.31082,3.7957,5.69597,7.00421,10.9873,11.2176,12.6169,12.8463,13.5293,53.6,13.1464
317,2013-11-14,00:00.0,0,1.11389,2.95805,3.39127,5.08906,6.2579,9.81656,10.0223,11.2725,11.4775,12.7979,56,11.7457
318,2013-11-15,00:00.0,0,0.976433,2.5912,2.9722,4.45986,5.48386,8.60109,8.78132,9.87625,10.0556,11.5937,47.5,10.29
319,2013-11-16,00:00.0,0,0.819702,2.1701,2.49349,3.74058,4.59849,7.20887,7.35975,8.2761,8.42586,10.1624,42,8.62074
320,2013-11-17,00:00.0,5.62659,0.856825,2.26889,2.60654,3.91025,4.80717,7.53641,7.69416,8.65225,8.80887,9.26461,43.8,9.01318
321,2013-11-18,00:00.0,9.64558,1.24671,3.31733,3.79816,5.70111,7.01161,11.0028,11.2337,12.6369,12.8673,10.4219,43.6,13.1715
322,2013-11-19,00:00.0,1.00475,1.41682,3.77436,4.31723,6.4808,7.97145,12.5128,12.7755,14.3721,14.6347,12.8068,51,14.9826
323,2013-11-20,00:00.0,0,1.24601,3.31585,3.79466,5.69525,7.0048,10.9944,11.2251,12.6265,12.857,13.6396,54.6,13.1618
324,2013-11-21,00:00.0,0,1.11324,2.96255,3.39034,5.08842,6.25844,9.82296,10.029,11.2812,11.4871,12.8396,51.4,11.7594
325,2013-11-22,00:00.0,5.02374,1.16091,3.09356,3.53682,5.30904,6.53055,10.2529,10.4682,11.7762,11.9916,12.2831,41.4,12.2772
326,2013-11-23,00:00.0,3.01425,1.26483,3.37313,3.85371,5.78495,7.11656,11.1755,11.4102,12.8363,13.0715,12.6262,37.9,13.3839
327,2013-11-24,00:00.0,3.01425,1.19139,3.17623,3.6291,5.44735,6.70117,10.5232,10.7442,12.0864,12.3078,12.8537,42.7,12.6018
328,2013-11-25,00:00.0,0,1.06445,2.8378,3.24242,4.86693,5.98716,9.40198,9.59936,10.7986,10.9964,12.2344,29.3,11.2591
329,2013-11-26,00:00.0,0,0.951031,2.53543,2.89694,4.34836,5.34922,8.4002,8.57654,9.64803,9.82476,11.1778,4.09,10.0594
330,2013-11-27,00:00.0,0,0.849699,2.26528,2.58827,3.88504,4.77926,7.50515,7.66271,8.62003,8.77793,10.094,4.23,8.98761
331,2013-11-28,00:00.0,0,0.759163,2.02391,2.31249,3.47109,4.27003,6.70548,6.84624,7.70156,7.84264,9.09047,4.61,8.02998
332,2013-11-29,00:00.0,0.20095,0.678274,1.80826,2.06609,3.10124,3.81506,5.99101,6.11677,6.88096,7.007,8.1577,5.05,7.17438
333,2013-11-30,00:00.0,0,0.606003,1.61559,1.84595,2.7708,3.40856,5.35266,5.46503,6.14779,6.2604,7.32219,4.74,6.40995
334,2013-12-01,00:00.0,0,0.541434,1.44345,1.64926,2.47557,3.04538,4.78233,4.88273,5.49274,5.59335,6.58871,4.8,5.72696
335,2013-12-02,00:00.0,1.80855,0.470464,1.25311,1.4327,2.15029,2.64502,4.15287,4.24001,4.76942,4.85667,5.87153,4.79,4.97238
336,2013-12-03,00:00.0,0,0.394325,1.048,1.20007,1.80069,2.21458,3.47552,3.54837,3.99081,4.06357,5.11446,4.78,4.15977
337,2013-12-04,00:00.0,2.21045,0.336806,0.893673,1.02453,1.53701,1.89003,2.96522,3.02731,3.4044,3.46632,4.42748,4.79,3.54798
338,2013-12-05,00:00.0,2.61235,0.651285,1.73634,1.99114,2.9919,3.67877,5.76702,5.88855,6.62794,6.74843,4.87583,4.77,6.91012
339,2013-12-06,00:00.0,0,0.926095,2.4748,2.83337,4.25871,5.2375,8.21415,8.38746,9.44229,9.61442,6.85988,4.75,9.84591
340,2013-12-07,00:00.0,0,0.814883,2.17913,2.49048,3.74234,4.60361,7.22525,7.37753,8.30422,8.45603,8.27019,4.6,8.65942
341,2013-12-08,00:00.0,0.20095,0.724455,1.93703,2.21404,3.32691,4.09252,6.42288,6.55824,7.38195,7.51687,8.21089,4.96,7.69759
342,2013-12-09,00:00.0,3.21519,0.647264,1.73064,1.97813,2.97243,3.65646,5.73852,5.85945,6.5954,6.71595,7.6359,5.17,6.87741
343,2013-12-10,00:00.0,0.803799,0.578016,1.54546,1.76649,2.65441,3.26525,5.12453,5.23253,5.88972,5.99737,6.96405,4.72,6.14155
344,2013-12-11,00:00.0,1.00475,0.516146,1.38002,1.57741,2.37027,2.91572,4.57596,4.6724,5.25924,5.35536,6.30331,3.57,5.4841
345,2013-12-12,00:00.0,0.803799,0.46115,1.23298,1.40933,2.11772,2.60505,4.08839,4.17455,4.69886,4.78474,5.66557,3.65,4.89976
346,2013-12-13,00:00.0,3.01425,0.412014,1.1016,1.25917,1.89207,2.32748,3.65277,3.72975,4.1982,4.27493,5.07633,3.64,4.37769
347,2013-12-14,00:00.0,0.20095,0.368114,0.984226,1.125,1.69047,2.07949,3.26357,3.33234,3.75088,3.81943,4.5708,3.6,3.91125
348,2013-12-15,00:00.0,8.23894,0.328891,0.879356,1.00513,1.51035,1.85792,2.91583,2.97728,3.35122,3.41247,4.13033,3.6,3.4945
349,2013-12-16,00:00.0,11.2532,0.293848,0.78566,0.898036,1.34942,1.65996,2.60515,2.66005,2.99415,3.04887,3.71341,3.61,3.12216
350,2013-12-17,00:00.0,2.61235,0.262538,0.701948,0.80235,1.20564,1.48309,2.32757,2.37662,2.67512,2.72401,3.32915,3.61,2.78949
351,2013-12-18,00:00.0,2.61235,0.234565,0.627155,0.716859,1.07718,1.32506,2.07957,2.12339,2.39008,2.43377,2.98006,3.61,2.49227
352,2013-12-19,00:00.0,0.401899,0.209572,0.560331,0.640477,0.962407,1.18388,1.85799,1.89714,2.13542,2.17445,2.67357,3.61,2.22672
353,2013-12-20,00:00.0,1.00475,0.18613,0.497567,0.568815,0.85471,1.05138,1.64998,1.68475,1.89633,1.93097,2.41699,3.62,1.97737
354,2013-12-21,00:00.0,11.6551,0.154114,0.411021,0.470745,0.707204,0.869743,1.36416,1.39288,1.5676,1.59613,2.15881,4.67,1.63421
355,2013-12-22,00:00.0,23.3102,0.327963,0.899419,1.01129,1.52467,1.87919,2.96207,3.02541,3.41212,3.47658,2.33869,5.53,3.56533
356,2013-12-23,00:00.0,2.61235,0.484119,1.33806,1.4968,2.25889,2.78581,4.39722,4.49165,5.06874,5.16546,3.32592,5.37,5.2997
357,2013-12-24,00:00.0,0,0.422294,1.16731,1.30583,1.97076,2.43047,3.83622,3.91861,4.42218,4.50656,4.15138,5.57,4.62366
358,2013-12-25,00:00.0,0,0.377298,1.04293,1.16669,1.76078,2.1715,3.42747,3.50108,3.95099,4.02638,4.26599,5.55,4.13101
359,2013-12-26,00:00.0,8.64084,0.337097,0.931804,1.04238,1.57317,1.94013,3.06227,3.12804,3.53001,3.59737,4.0859,5.73,3.69085
360,2013-12-27,00:00.0,0.803799,0.301179,0.83252,0.931312,1.40554,1.73341,2.73598,2.79475,3.15389,3.21407,3.78579,5.69,3.29759
361,2013-12-28,00:00.0,0,0.268806,0.743038,0.831213,1.25448,1.5471,2.44191,2.49436,2.81491,2.86862,3.44817,5.7,2.94316
362,2013-12-29,00:00.0,0,0.234621,0.64861,0.7256,1.09513,1.35058,2.13167,2.17746,2.45734,2.50422,3.09493,5.9,2.56929
363,2013-12-30,00:00.0,0,0.19108,0.528474,0.591276,0.892557,1.10074,1.73713,1.77446,2.00274,2.04093,2.71106,5.91,2.09394
364,2013-12-31,00:00.0,0.602849,0.157441,0.43562,0.487445,0.735943,0.907581,1.43213,1.46293,1.65128,1.68275,2.3461,5.57,1.72645
365,2014-01-01,00:00.0,1.00475,0.140666,0.389205,0.435507,0.657528,0.810878,1.27954,1.30706,1.47534,1.50346,2.05028,5.49,1.5425
366,2014-01-02,00:00.0,0,0.125678,0.347735,0.389104,0.587468,0.724478,1.1432,1.16779,1.31814,1.34326,1.80504,5.58,1.37815
367,2014-01-03,00:00.0,0,0.112287,0.310684,0.347645,0.524873,0.647285,1.02139,1.04336,1.17769,1.20014,1.59706,5.44,1.2313
368,2014-01-04,00:00.0,0,0.100323,0.27758,0.310603,0.468948,0.578317,0.912564,0.932191,1.05221,1.07226,1.41775,5.34,1.10011
369,2014-01-05,00:00.0,4.82279,0.0896332,0.248004,0.277508,0.418981,0.516697,0.81533,0.832866,0.940093,0.958012,1.26134,5.3,0.982891
370,2014-01-06,00:00.0,19.894,0.0731231,0.202426,0.22654,0.342101,0.421878,0.665616,0.679942,0.767567,0.78219,1.10575,5.25,0.802496
371,2014-01-07,00:00.0,3.01425,0.0583721,0.161704,0.181003,0.273412,0.337163,0.531855,0.543313,0.613424,0.625101,0.955247,5.32,0.641322
372,2014-01-08,00:00.0,1.40665,0.0521526,0.144475,0.161717,0.244279,0.301238,0.475185,0.485423,0.548064,0.558496,0.847834,5.29,0.572989
373,2014-01-09,00:00.0,0.602849,0.0465957,0.129081,0.144486,0.218251,0.269141,0.424554,0.433701,0.489667,0.498988,0.771189,4.41,0.511937
374,2014-01-10,00:00.0,1.80855,0.0416309,0.115327,0.129091,0.194997,0.240464,0.379318,0.38749,0.437493,0.445821,0.699275,4.01,0.45739
375,2014-01-11,00:00.0,14.8703,0.0307818,0.0853895,0.0956165,0.144512,0.1782,0.280994,0.28706,0.3242,0.330362,0.622393,3.98,0.338927
376,2014-01-12,00:00.0,9.24369,0.442617,1.19231,1.35988,2.05506,2.52854,3.96037,4.045,4.55759,4.63966,1.33258,4.01,4.75088
377,2014-01-13,00:00.0,0,0.810024,2.17978,2.48776,3.75951,4.62534,7.24278,7.39749,8.33423,8.48402,3.73304,4.63,8.6868
378,2014-01-14,00:00.0,0,0.839886,2.26183,2.58392,3.9108,4.81088,7.52519,7.68651,8.66231,8.81684,6.42784,4.97,9.02611
379,2014-01-15,00:00.0,0.401899,0.866566,2.33514,2.66984,4.04597,4.97666,7.77751,7.94473,8.95544,9.1142,8.05222,4.84,9.32926
380,2014-01-16,00:00.0,1.2057,0.76086,2.04953,2.34425,3.55292,4.36999,6.82807,6.97489,7.8622,8.00137,8.48873,5.26,8.18983
381,2014-01-17,00:00.0,7.23419,0.668703,1.80064,2.06038,3.123,3.84102,6.00043,6.12947,6.90921,7.03135,7.98453,5.52,7.19666
382,2014-01-18,00:00.0,4.01899,0.585819,1.57676,1.80508,2.73636,3.36529,5.25605,5.3691,6.05208,6.15889,7.22972,8.08,6.30338
383,2014-01-19,00:00.0,1.00475,0.51644,1.38961,1.59135,2.41256,2.96695,4.63317,4.73284,5.33487,5.42891,6.47015,10.1,5.55608
384,2014-01-20,00:00.0,1.00475,0.45935,1.23586,1.41544,2.14594,2.63903,4.12087,4.20952,4.74499,4.82859,5.76838,10.6,4.94164
385,2014-01-21,00:00.0,0,0.408342,1.0985,1.25828,1.90773,2.34605,3.66316,3.74196,4.21795,4.29224,5.1355,7.78,4.39267
386,2014-01-22,00:00.0,0,0.364833,0.981457,1.12421,1.70446,2.09608,3.27285,3.34326,3.76853,3.8349,4.60269,5.26,3.92463
387,2014-01-23,00:00.0,1.00475,0.32596,0.876883,1.00443,1.52285,1.87274,2.92413,2.98703,3.36699,3.42629,4.15007,5.43,3.50646
388,2014-01-24,00:00.0,0,0.291229,0.783451,0.897405,1.36059,1.6732,2.61256,2.66876,3.00824,3.06122,3.72888,5.56,3.13285
389,2014-01-25,00:00.0,13.4636,0.260199,0.699974,0.801786,1.21689,1.49619,2.33546,2.38567,2.68898,2.73631,3.34223,5.54,2.80031
390,2014-01-26,00:00.0,2.61235,0.232474,0.625391,0.716355,1.08986,1.3394,2.08924,2.13411,2.40509,2.44738,2.99236,5.43,2.50456
391,2014-01-27,00:00.0,7.23419,0.207704,0.558755,0.640027,0.976398,1.19935,1.8693,1.90938,2.15149,2.18928,2.68504,5.37,2.24037
392,2014-01-28,00:00.0,0.20095,0.185573,0.49922,0.571832,0.874935,1.07413,1.6727,1.70851,1.92482,1.95858,2.43138,5.38,2.00423
393,2014-01-29,00:00.0,0,0.1658,0.446028,0.510903,0.784193,0.962165,1.49695,1.52895,1.72222,1.75238,2.20994,5.4,1.79316
